0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41,21,355.10065399053184,354.60065399053184,27,160.68554543712662,410.71089028575943
42,21,354.99250362499214,354.49250362499214,27,160.692410247659,410.74343563828404
43,21,354.9521767045467,354.4521767045467,27,160.71070924662448,410.75532594584325
44,21,354.94620331552505,354.44620331552505,27,160.86839903608686,410.6283172489775
45,21,354.7613060610227,355.2613060610227,27,161.08290919014956,410.6266866559699
46,21,355.5114895169279,353.0114895169279,27,161.17382549668247,410.6430485191434,36,470.06414978237666,416.93548767300166
47,21,355.0217729169011,353.0217729169011,27,161.09145833504877,410.79664327157224,36,467.0736091811081,417.41119463032686
48,21,354.97087614463175,352.6396022551705,27,161.27584335596734,410.72483322413143,36,466.29091494692346,417.53575747622034
49,21,354.9199793723624,352.25743159343983,27,161.27733395928573,410.76996396416854,36,466.1807012586558,417.4255437879527
50,21,354.869082600093,351.8752609317092,27,161.14329094246412,411.03440422371415,36,466.1773309725619,417.42217350185877
51,21,354.81818582782364,351.49309026997855,27,161.6415790964582,410.842216913841,36,466.04938117448364,418.54938117448364
52,21,354.7672890555543,351.1109196082479,27,161.51445775158246,411.13840489513717,36,466.3333573813375,418.8333573813375
53,21,354.7163922832849,350.72874894651727,27,161.91988651721067,410.93751041857786,36,466.4767513189083,418.9767513189083
54,21,354.66549551101554,350.34657828478663,27,162.1429849829347,411.10061132570814,36,466.5369001614848,419.0369001614848
55,21,354.61459873874617,349.964407623056,27,162.38576067998423,411.1597780139686,36,466.50826220459925,419.2644152728025
56,21,354.5637019664768,349.58223696132535,27,162.2040439252007,411.3983188275445,36,466.4796242477137,419.4919303841202
57,21,354.51280519420743,349.2000662995947,27,162.49786346752833,411.27093475659086,36,466.4509862908281,419.7194454954379,42,288.0702227128334,261.5702227128334
58,21,354.46190842193806,348.81789563786407,27,162.84228187066716,411.1014829204718,36,466.4223483339425,419.9469606067556,42,288.4756111223504,261.51642646904673
59,21,354.4110116496687,348.43572497613343,27,162.61578975018602,411.26865229901415,36,466.39371037705695,420.1744757180733,42,288.8809995318674,261.46263022526006
60,21,354.3601148773993,348.0535543144028,27,162.90923326044958,411.15908067255896,36,466.3650724201714,420.401990829391,42,289.2863879413844,261.4088339814734
61,21,354.30921810512996,347.67138365267215,27,163.00291391942807,411.2196650180609,36,466.3364344632858,420.6295059407087,42,289.6917763509014,261.3550377376867
62,21,354.2583213328606,347.2892129909415,27,163.16896613862994,411.3294275644112,36,466.3077965064002,420.8570210520264,42,290.0971647604184,261.3012414939
63,21,354.2074245605912,346.90704232921087,27,163.3924050757377,411.4583383032768,36,466.27915854951465,421.0845361633441,42,290.5025531699354,261.24744525011334
64,21,354.15652778832185,346.5248716674802,27,163.17663261327385,411.7061431113207,36,466.2505205926291,421.3120512746618,42,290.9079415794524,261.19364900632667
65,21,354.1056310160525,346.1427010057496,27,163.16970766790106,411.69921816594797,36,466.2218826357435,421.5395663859795,42,291.31332998896943,261.13985276254
66,21,354.0547342437831,345.76053034401895,27,163.49684113323312,411.5738675004206,36,466.1932446788579,421.7670814972972,42,291.71871839848643,261.0860565187533
67,21,354.00383747151375,345.3783596822883,27,163.63258825955822,411.5845688503785,36,466.16460672197235,421.9945966086149,42,292.12410680800343,261.03226027496663
68,21,353.9529406992444,344.99618902055767,27,163.80653487574114,411.7075205935146,36,466.1359687650868,422.2221117199326,42,292.52949521752043,260.97846403117995
